Fecha,MM,WTI,BRENT,DJI,XAU,OILC1
31/01/1996,15.12,17.76,16.63,5395.3,406.45,17.74
29/02/1996,16.82,19.59,18.8,5485.62,399.75,19.54
29/03/1996,18.35,21.43,20.33,5587.14,395.45,21.47
30/04/1996,17.61,20.95,19.5,5569.07,391.65,21.2
31/05/1996,16.48,19.77,18.1,5643.17,391,19.76
28/06/1996,17.44,20.92,19.28,5654.62,380.45,20.92
31/07/1996,17.16,20.46,19,5528.91,387.05,20.42
30/08/1996,19.03,22.25,20.98,5616.2,386.75,22.25
30/09/1996,21.23,24.2,24.15,5882.16,378.55,24.38
31/10/1996,20.59,23.25,22.8,6029.38,377.95,23.35
29/11/1996,21.02,23.7,23.17,6521.7,371.4,23.62
31/12/1996,21.62,25.9,23.9,6448.26,368.05,25.92
31/01/1997,19.89,24.15,23.28,6813.08,344.35,24.15
28/02/1997,16.23,20.3,19.44,6877.73,363.25,20.3
31/03/1997,16.34,20.35,18.53,6583.47,351.15,20.41
30/04/1997,16.24,20.2,18.25,7008.99,339.35,20.21
30/05/1997,16.73,21,18.99,7331.04,344.65,20.88
30/06/1997,15.68,19.82,18.22,7672.79,333.95,19.8
31/07/1997,16.33,20.19,18.94,8222.61,324.55,20.14
29/08/1997,15.08,19.66,17.98,7622.42,324.15,19.61
30/09/1997,17.42,21.13,19.96,7945.25,334.45,21.18
31/10/1997,17.26,21.1,19.42,7442.08,311.45,21.08
28/11/1997,15.42,19.13,18.96,7823.12,297,19.73
31/12/1997,12.64,17.65,15.86,7908.24,289.05,17.64
30/01/1998,12.35,17.21,15.59,7906.5,302.45,17.21
27/02/1998,10.44,15.44,13.53,8545.71,299.15,15.44
31/03/1998,10.15,15.75,13.87,8799.8,300.95,15.61
30/04/1998,10.72,15.56,13.79,9063.36,306.65,15.39
29/05/1998,11.45,15.21,14.03,8899.95,292.95,15.2
30/06/1998,10.34,14.3,11.84,8952.01,296.95,14.18
31/07/1998,10.38,14.27,12.63,8883.29,286.45,14.21
31/08/1998,9.4,13.29,12.06,7539.06,276.65,13.34
30/09/1998,12.01,16.19,14.71,7842.62,296.95,16.14
30/10/1998,10.3,14.48,12,8592.11,292.55,14.42
30/11/1998,8.24,11.37,9.91,9116.55,292.95,11.22
31/12/1998,8.23,12.14,10.54,9181.43,288.25,12.05
29/01/1999,8.97,12.81,11.34,9358.82,286.35,12.75
26/02/1999,8.7,12.31,10.58,9306.57,286.8,12.27
31/03/1999,12.87,16.66,15.02,9786.16,280.05,16.76
30/04/1999,14.67,18.69,16.45,10789.04,286.65,18.66
31/05/1999,12.98,16.85,14.75,10559.75,270.35,16.84
30/06/1999,15.15,19.33,16.97,10970.81,262.5,19.29
30/07/1999,16.97,20.52,19.97,10655.15,255.95,20.53
31/08/1999,19.03,22.15,21.08,10829.28,255.55,22.11
30/09/1999,21.39,24.54,22.98,10336.96,299.5,24.51
29/10/1999,18.98,21.79,21.11,10729.87,299.3,21.75
30/11/1999,21.69,24.87,25.2,10877.81,290.88,24.59
31/12/1999,22.05,25.76,24.93,11497.12,288.25,26.82
31/01/2000,23.63,27.65,27.08,10940.54,283.23,27.64
29/02/2000,26.15,30.57,29.01,10128.31,292.12,30.43
31/03/2000,22.21,26.86,23.98,10921.93,278.95,26.9
28/04/2000,21.52,25.71,23.79,10733.92,273.5,25.74
31/05/2000,25,29.03,29.64,10522.34,272.15,29.01
30/06/2000,27.26,32.44,31.58,10447.9,290.1,32.5
31/07/2000,23.04,27.5,25.3,10521.98,277.25,27.43
31/08/2000,28.27,33.09,35.08,11215.1,277.75,33.12
29/09/2000,25.16,30.87,28.42,10650.92,274.25,30.84
31/10/2000,25.97,32.7,30.15,10971.14,265.05,32.7
30/11/2000,25.77,33.61,32.53,10414.49,270.35,33.82
29/12/2000,17.94,26.72,22.58,10786.85,272.4,26.8
31/01/2001,19.86,28.62,26.59,10887.36,265.85,28.66
28/02/2001,19.23,27.35,25.16,10495.28,267.25,27.39
30/03/2001,17.04,26.37,23.5,9878.78,257.95,26.29
30/04/2001,19.51,28.48,27.21,10734.97,264.05,28.46
31/05/2001,20.29,28.39,28.55,10911.94,266.05,28.37
29/06/2001,20.23,26.37,26.21,10502.4,270.85,26.25
31/07/2001,19.09,26.7,24.35,10522.81,266.85,26.35
31/08/2001,21.2,26.65,26.8,9949.75,274.45,27.2
28/09/2001,18.15,23.44,21.87,8847.56,292.95,23.43
31/10/2001,15.56,21.2,19.63,9075.14,279.65,21.18
30/11/2001,14.62,19.46,18.92,9851.56,274.4,19.44
31/12/2001,14.91,19.96,19.35,10021.5,278.95,19.84
31/01/2002,14.87,19.71,19.07,9920,282.35,19.48
28/02/2002,17.28,21.78,20.73,10106.13,296.95,21.74
29/03/2002,22.23,26.21,25.34,10353.36,302.7,25.36
30/04/2002,23.44,27.32,26.98,9946.22,308.35,27.29
31/05/2002,22.06,25.37,23.87,9925.25,326.55,25.31
28/06/2002,22.61,26.79,25.33,9243.26,314.62,26.86
31/07/2002,23.2,27.02,26.28,8736.59,303.55,27.02
30/08/2002,24.24,28.97,27.56,8663.5,312.75,28.98
30/09/2002,25.98,30.59,29.11,7591.93,323.75,30.45
31/10/2002,22.51,27.18,25.51,8397.03,317.8,27.22
29/11/2002,21.09,26.87,25.74,8896.09,319.05,26.4
31/12/2002,26.2,31.21,30.12,8341.63,347,31.2
31/01/2003,27.7,33.51,31.57,8053.81,368.48,33.51
28/02/2003,28.89,36.76,34,7891.08,349.85,36.6
31/03/2003,23.15,31.14,28.05,7992.13,337.48,31.04
30/04/2003,20.59,26.09,23.6,8480.09,339.62,25.8
30/05/2003,22.87,29.56,26.58,8850.26,364.98,29.56
30/06/2003,24.94,30.15,28.88,8985.44,346.4,30.19
31/07/2003,24.93,30.56,28.68,9233.8,355,30.54
